C1_Elctricity,C2_Elctricity,Total_Elctricity,Waste_Cell1_Pls,Waste_Cell2_Pls,Total_Waste_Plastic,input,output,Throughput
1093.295031,1008.30032,2101.595351,10.8,13.05,23.85,141,141,1
1242.252675,855.3674148,2097.62009,14.2,9.6,23.8,135,135,1
1311.264551,895.4805355,2206.745086,16.2,9.75,25.95,146,146,1
1194.716155,914.5345013,2109.250656,13.6,10.65,24.25,139,139,1
1276.96027,934.0024352,2210.962706,15.6,10.65,26.25,149,149,1
1216.554979,1019.760141,2236.31512,13.8,13.2,27,157,157,1
1272.204218,948.008838,2220.213056,15.2,11.1,26.3,151,150,0.993377483
1301.978385,1006.826827,2308.805213,15.8,12.6,28.4,164,163,0.993902439
1246.719293,866.5622383,2113.281531,14.6,9,23.6,133,133,1
1195.625701,912.9887077,2108.614409,13.4,11.1,24.5,141,141,1
1270.346274,838.839405,2109.185679,15.2,8.55,23.75,133,133,1
1170.423898,929.1741012,2099.597999,12.4,10.65,23.05,133,133,1
1172.570035,933.4180725,2105.988108,12.2,11.1,23.3,135,135,1
1333.656277,954.1118648,2287.768142,16.6,11.25,27.85,158,158,1
1226.31226,996.4642797,2222.776539,13.8,12.45,26.25,152,152,1
1288.8034,976.1041374,2264.907538,15.4,11.7,27.1,157,155,0.987261146
1293.6778,994.856802,2288.534602,15.8,12.45,28.25,163,162,0.993865031
1308.412292,976.6905278,2285.10282,16.4,12.15,28.55,163,163,1
1387.280851,957.9099743,2345.190825,18.4,11.55,29.95,169,169,1
1200.275303,890.4564778,2090.731781,13.2,9.75,22.95,131,131,1
1315.919713,866.1526148,2182.072327,16.4,9,25.4,142,142,1
1178.267017,961.0631067,2139.330123,12.4,11.4,23.8,140,138,0.985714286
1413.004585,973.8929255,2386.897511,19.2,11.85,31.05,175,175,1
1217.196729,919.1128436,2136.309573,13.8,10.5,24.3,139,139,1
1236.916431,951.0427797,2187.95921,14,11.25,25.25,145,145,1
1301.304269,936.2803055,2237.584575,16,11.1,27.1,154,154,1
1387.552696,960.8593677,2348.412064,18.2,11.4,29.6,168,167,0.994047619
1196.36202,954.2301322,2150.592152,13,11.7,24.7,143,143,1
1236.800285,984.5304228,2221.330708,14,12,26,150,150,1
1343.931511,964.2260891,2308.1576,17,11.85,28.85,164,164,1
1250.58639,962.5479893,2213.134379,14.6,11.55,26.15,151,150,0.993377483
1342.976732,939.6288172,2282.605549,17,10.95,27.95,159,158,0.993710692
1244.31149,903.8816781,2148.193168,14.4,10.05,24.45,139,139,1
1267.681745,975.8689129,2243.550658,14.8,11.85,26.65,154,153,0.993506494
1294.064305,933.796626,2227.860931,15.6,11.1,26.7,152,152,1
1218.256027,950.965749,2169.221776,13.8,11.1,24.9,144,143,0.993055556
1252.902737,1083.591832,2336.494569,14.6,14.55,29.15,171,170,0.994152047
1254.619362,885.5391479,2140.15851,15.4,9.45,24.85,140,140,1
1167.422896,973.2811353,2140.704031,12.4,11.7,24.1,140,140,1
1210.605332,888.970565,2099.575897,14.8,9.45,24.25,138,137,0.992753623
1227.293645,926.9153157,2154.208961,14.2,10.65,24.85,142,142,1
1278.748467,977.372853,2256.12132,15,11.85,26.85,154,154,1
1267.432334,935.1264887,2202.558823,15,10.65,25.65,148,146,0.986486486
1301.251899,868.6010364,2169.852935,15.8,8.85,24.65,138,138,1
1316.594107,1016.24853,2332.842638,16.8,12.9,29.7,170,170,1
1187.07587,923.5070422,2110.582912,13,10.35,23.35,134,134,1
1135.720978,898.7671253,2034.488103,11.4,9.75,21.15,123,122,0.991869919
1237.148902,854.6149915,2091.763894,14.2,8.55,22.75,128,128,1
1220.224894,956.4075505,2176.632445,14,11.25,25.25,145,145,1
1247.686325,922.714243,2170.400568,14.4,10.35,24.75,142,141,0.992957746
1189.914009,972.7254621,2162.639471,13.2,11.7,24.9,145,144,0.993103448
1279.314849,927.8015216,2207.11637,15.2,10.5,25.7,148,146,0.986486486
1304.476629,882.3619276,2186.838557,16,9.6,25.6,144,144,1
1317.070291,1026.788757,2343.859048,13.6,10.95,24.55,142,141,0.992957746
1235.881572,869.6889605,2105.570533,14,9,23,131,130,0.992366412
1282.7537650395684,928.5181370634791,2211.2719021030475,15.399999999999977,10.950000000000015,26.349999999999994,150,150,1.0
1188.7779824437762,973.1879204275535,2161.9659028713295,12.799999999999986,11.700000000000017,24.500000000000004,142,142,1.0
1270.1303129216465,960.0598901739817,2230.190203095628,14.999999999999979,11.400000000000016,26.399999999999995,153,151,0.9869281045751634
1302.890238804891,901.7694105079494,2204.6596493128404,15.999999999999975,9.750000000000012,25.749999999999986,146,145,0.9931506849315068
1268.7537615361487,945.5040295584145,2214.257791094563,14.999999999999979,10.950000000000015,25.949999999999996,148,148,1.0
1250.4333997406438,895.498616557977,2145.932016298621,14.39999999999998,9.900000000000013,24.299999999999994,138,138,1.0
1234.7872899658869,876.3924119064678,2111.1797018723546,14.59999999999998,9.300000000000011,23.89999999999999,135,135,1.0
1317.081554348932,921.0333772847,2238.1149316336323,16.399999999999974,10.350000000000014,26.749999999999986,152,151,0.993421052631579
1284.628135051706,1022.7049441467333,2307.3330791984395,15.399999999999977,13.05000000000002,28.449999999999996,167,164,0.9820359281437125
1308.5503708319886,1002.3043548332084,2310.8547256651973,16.399999999999974,12.90000000000002,29.299999999999994,168,168,1.0
1217.5233200083135,946.6044622054309,2164.1277822137445,13.599999999999984,10.950000000000015,24.549999999999997,141,141,1.0
1277.0630115506572,983.0010949969212,2260.0641065475784,15.199999999999978,12.300000000000018,27.499999999999996,158,158,1.0
