C1_Elctricity,C2_Elctricity,Total_Elctricity,Waste_Cell1_Pls,Waste_Cell2_Pls,Total_Waste_Plastic,input,output,Throughput
1238.6309440111377,872.2785353194481,2110.909479330586,13.999999999999982,9.150000000000011,23.14999999999999,133,131,0.9849624060150376
1245.6736994836997,942.9086125731319,2188.5823120568316,14.39999999999998,11.100000000000016,25.499999999999996,147,146,0.9931972789115646
1247.7901493797895,923.2407719251419,2171.0309213049313,14.39999999999998,10.500000000000014,24.899999999999995,142,142,1.0
1128.3423377865352,924.9576081876057,2053.299945974141,11.199999999999992,10.500000000000014,21.700000000000006,126,126,1.0
1308.7678014774265,1002.941220813582,2311.7090222910083,16.199999999999974,12.60000000000002,28.799999999999994,166,165,0.9939759036144579
1250.2326119390768,932.0002483424331,2182.23286028151,14.39999999999998,10.950000000000015,25.349999999999994,146,145,0.9931506849315068
1295.5946657548468,886.2512158237327,2181.8458815785793,15.599999999999977,9.450000000000012,25.04999999999999,142,141,0.9929577464788732
1181.4046742867952,963.7117399907623,2145.1164142775574,12.599999999999987,11.400000000000016,24.000000000000004,140,139,0.9928571428571429
1206.770859414382,866.514649506669,2073.2855089210507,13.599999999999984,9.00000000000001,22.599999999999994,128,128,1.0
1262.3525219439025,968.8300172904492,2231.1825392343517,15.199999999999978,11.550000000000017,26.749999999999993,154,153,0.9935064935064936
1225.111781085404,918.9492766595963,2144.061057745,13.799999999999983,10.800000000000015,24.599999999999998,142,141,0.9929577464788732
1354.7955701374826,985.607801118643,2340.403371256126,17.79999999999997,12.150000000000018,29.94999999999999,170,170,1.0
1193.6233405853518,954.4029054950167,2148.0262460803688,12.999999999999986,11.700000000000017,24.700000000000003,144,143,0.9930555555555556
1374.202442563524,961.387455917961,2335.589898481485,17.79999999999997,11.400000000000016,29.199999999999985,168,165,0.9821428571428571
1198.331680096939,903.1229418725882,2101.454621969527,13.599999999999984,9.900000000000013,23.499999999999996,138,134,0.9710144927536232
1313.3768503582837,894.0486788034752,2207.425529161759,16.199999999999974,9.750000000000012,25.94999999999999,146,146,1.0
1243.7018183832306,921.2220133937963,2164.923831777027,14.59999999999998,10.500000000000014,25.099999999999994,143,143,1.0
1233.874001510796,906.2740177131489,2140.148019223945,13.999999999999982,10.350000000000014,24.349999999999994,140,139,0.9928571428571429
1316.6251214249774,894.9760702275148,2211.601191652492,16.199999999999974,9.750000000000012,25.94999999999999,146,146,1.0
1226.9310396343521,947.7323873591171,2174.6634269934693,13.799999999999983,11.850000000000017,25.65,150,148,0.9866666666666667
1201.4937401404254,953.5511380235882,2155.0448781640134,12.999999999999986,11.100000000000016,24.1,139,139,1.0
1140.02037766501,957.6536767346821,2097.674054399692,11.59999999999999,11.550000000000017,23.150000000000006,135,135,1.0
1340.8343076325227,863.4302040153746,2204.264511647897,16.99999999999997,9.150000000000011,26.149999999999984,147,146,0.9931972789115646
1306.3961953667756,892.9692014672232,2199.3653968339986,16.199999999999974,9.750000000000012,25.94999999999999,146,146,1.0
1249.9103287746993,988.4363666610355,2238.346695435735,14.199999999999982,12.300000000000018,26.5,154,153,0.9935064935064936
1220.7278652261955,881.2251041184513,2101.9529693446466,13.599999999999984,9.900000000000013,23.499999999999996,134,134,1.0
1157.814546496114,826.2161100435594,1984.0306565396734,11.99999999999999,8.100000000000009,20.099999999999998,115,114,0.991304347826087
1206.6293912318442,934.6070310298844,2141.236422261729,13.399999999999984,10.650000000000015,24.049999999999997,139,138,0.9928057553956835
1251.3015429789984,947.6137855297828,2198.9153285087814,14.59999999999998,11.100000000000016,25.699999999999996,148,147,0.9932432432432432
1168.5420062788733,923.2984093053267,2091.8404155842,12.399999999999988,10.350000000000014,22.75,132,131,0.9924242424242424
1243.1676967890205,985.8320810140997,2228.99977780312,14.199999999999982,12.000000000000018,26.2,153,151,0.9869281045751634
1244.1162787169274,949.2035897637558,2193.319868480683,15.199999999999978,11.100000000000016,26.299999999999994,150,150,1.0
